Null, Fábio Kon
Null, Arnaldo Mandel
Null, Carlos Eduardo Ferreira
Null, Ernesto Julián Goldberg Birgin
Null, Junior Barrera
Null, Marcelo Finger
Null, Roberto Marcondes Cesar Junior
Null, Routo Terada
Null, Yoshiharu Kohayakawa
Null, Yoshiko Wakabayashi
